city,country,population,lat,lng
Tokyo,Japan,35676000.0,35.685,139.7514
New York,United States,19354922.0,40.6943,-73.9249
Mexico City,Mexico,19028000.0,19.4424,-99.131
Mumbai,India,18978000.0,19.017,72.857
São Paulo,Brazil,18845000.0,-23.5587,-46.625
Delhi,India,15926000.0,28.67,77.23
Shanghai,China,14987000.0,31.2165,121.4365
Kolkata,India,14787000.0,22.495,88.3247
Los Angeles,United States,12815475.0,34.1139,-118.4068
Dhaka,Bangladesh,12797394.0,23.7231,90.4086
Buenos Aires,Argentina,12795000.0,-34.6025,-58.3975
Karachi,Pakistan,12130000.0,24.87,66.99
Cairo,Egypt,11893000.0,30.05,31.25
Rio de Janeiro,Brazil,11748000.0,-22.925,-43.225
Ōsaka,Japan,11294000.0,34.75,135.4601
Beijing,China,11106000.0,39.9289,116.3883
Manila,Philippines,11100000.0,14.6042,120.9822
Moscow,Russia,10452000.0,55.7522,37.6155
Istanbul,Turkey,10061000.0,41.105,29.01
Paris,France,9904000.0,48.8667,2.3333
Seoul,"Korea, South",9796000.0,37.5663,126.9997
Lagos,Nigeria,9466000.0,6.4433,3.3915
Jakarta,Indonesia,9125000.0,-6.1744,106.8294
Guangzhou,China,8829000.0,23.145,113.325
Chicago,United States,8675982.0,41.8373,-87.6862
London,United Kingdom,8567000.0,51.5,-0.1167
Lima,Peru,8012000.0,-12.048,-77.0501
Tehran,Iran,7873000.0,35.6719,51.4243
Kinshasa,Congo (Kinshasa),7843000.0,-4.3297,15.315
Bogotá,Colombia,7772000.0,4.5964,-74.0833
Shenzhen,China,7581000.0,22.5524,114.1221
Wuhan,China,7243000.0,30.58,114.27
Hong Kong,Hong Kong,7206000.0,22.305,114.185
Tianjin,China,7180000.0,39.13,117.2
Chennai,India,7163000.0,13.09,80.28
Taipei,Taiwan,6900273.0,25.0358,121.5683
Bengalūru,India,6787000.0,12.97,77.56
Bangkok,Thailand,6704000.0,13.75,100.5166
Lahore,Pakistan,6577000.0,31.56,74.35
Chongqing,China,6461000.0,29.565,106.595
Miami,United States,6381966.0,25.7839,-80.2102
Hyderabad,India,6376000.0,17.4,78.48
Dallas,United States,5733259.0,32.7936,-96.7662
Santiago,Chile,5720000.0,-33.45,-70.667
Philadelphia,United States,5637884.0,40.0077,-75.1339
Belo Horizonte,Brazil,5575000.0,-19.915,-43.915
Madrid,Spain,5567000.0,40.4,-3.6834
Houston,United States,5446468.0,29.7869,-95.3905
Ahmadābād,India,5375000.0,23.0301,72.58
Ho Chi Minh City,Vietnam,5314000.0,10.78,106.695
Washington,United States,5289420.0,38.9047,-77.0163
Atlanta,United States,5228750.0,33.7627,-84.4225
Toronto,Canada,5213000.0,43.7,-79.42
Singapore,Singapore,5183700.0,1.293,103.8558
Luanda,Angola,5172900.0,-8.8383,13.2344
Baghdad,Iraq,5054000.0,33.3386,44.3939
Barcelona,Spain,4920000.0,41.3833,2.1834
Hāora,India,4841638.0,22.5804,88.3299
Shenyang,China,4787000.0,41.805,123.45
Khartoum,Sudan,4754000.0,15.5881,32.5342
Pune,India,4672000.0,18.53,73.85
